Hex	Opcode	Length	Cycles	After CB	Length	Cycles	After DDFDCB	Length	Cycles	After ED	Length	Cycles			Key	
C6	"ADD A, $"	2	7	"SET 0, (HL)"	1	15	"RES 0, (HL)"	1	15							
C7	RST 00	1	11	"SET 0, A"	1	8	"LD L, RES 0, (HL)"	1	0							
C8	RET Z	1	11 / 5	"SET 1, B"	1	8	"LD B, RES 1, (HL)"	1	0							
C9	RET	1	10	"SET 1, C"	1	8	"LD C, RES 1, (HL)"	1	0							
CA	"JP Z, ^"	3	12 / 7	"SET 1, D"	1	8	"LD D, RES 1, (HL)"	1	0							
CB		0		"SET 1, E"	1	8	"LD E, RES 1, (HL)"	1	0							
CC	"CALL Z, ^"	3	17 / 10	"SET 1, H"	1	8	"LD H, RES 1, (HL)"	1	0							
CD	CALL ^	3	17	"SET 1, L"	1	8	"LD L, RES 1, (HL)"	1	0							
CE	"ADC A, $"	2	7	"SET 1, (HL)"	1	15	"RES 1, (HL)"	1	15							
CF	RST 08	1	11	"SET 1, A"	1	8	"LD L, RES 1, (HL)"	1	0							
D0	RET NC	1	11 / 5	"SET 2, B"	1	8	"LD B, RES 2, (HL)"	1	0							
D1	POP DE	1	10	"SET 2, C"	1	8	"LD C, RES 2, (HL)"	1	0							
D2	"JP NC, ^"	3	12 / 7	"SET 2, D"	1	8	"LD D, RES 2, (HL)"	1	0							
D3	"OUT ($), A"	2	11	"SET 2, E"	1	8	"LD E, RES 2, (HL)"	1	0							
D4	"CALL NC, ^"	3	17 / 10	"SET 2, H"	1	8	"LD H, RES 2, (HL)"	1	0							
D5	PUSH DE	1	11	"SET 2, L"	1	8	"LD L, RES 2, (HL)"	1	0							
D6	SUB $	2	7	"SET 2, (HL)"	1	15	"RES 2, (HL)"	1	15							
D7	RST 10	1	11	"SET 2, A"	1	8	"LD L, RES 2, (HL)"	1	0							
D8	RET C	1	11 / 5	"SET 3, B"	1	8	"LD B, RES 3, (HL)"	1	0							
D9	EXX	1	4	"SET 3, C"	1	8	"LD C, RES 3, (HL)"	1	0							
DA	"JP C, ^"	3	12 / 7	"SET 3, D"	1	8	"LD D, RES 3, (HL)"	1	0							
DB	"IN A, ($)"	2	11	"SET 3, E"	1	8	"LD E, RES 3, (HL)"	1	0							
DC	"CALL C, ^"	3	17 / 10	"SET 3, H"	1	8	"LD H, RES 3, (HL)"	1	0							
DD		0		"SET 3, L"	1	8	"LD L, RES 3, (HL)"	1	0							
DE	"SBC A, $"	2	7	"SET 3, (HL)"	1	15	"RES 3, (HL)"	1	15							
DF	RST 18	1	11	"SET 3, A"	1	8	"LD L, RES 3, (HL)"	1	0							
E0	RET PO	1	11 / 5	"SET 4, B"	1	8	"LD B, RES 4, (HL)"	1	0							
E1	POP HL	1	10	"SET 4, C"	1	8	"LD C, RES 4, (HL)"	1	0							
E2	"JP PO, ^"	3	12 / 7	"SET 4, D"	1	8	"LD D, RES 4, (HL)"	1	0							
E3	"EX (SP), HL"	1	19	"SET 4, E"	1	8	"LD E, RES 4, (HL)"	1	0							
E4	"CALL PO, ^"	3	17 / 10	"SET 4, H"	1	8	"LD H, RES 4, (HL)"	1	0							
E5	PUSH HL	1	11	"SET 4, L"	1	8	"LD L, RES 4, (HL)"	1	0							
E6	AND $	2	7	"SET 4, (HL)"	1	15	"RES 4, (HL)"	1	15							
E7	RST 20	1	11	"SET 4, A"	1	8	"LD L, RES 4, (HL)"	1	0							
E8	RET PE	1	11 / 5	"SET 5, B"	1	8	"LD B, RES 5, (HL)"	1	0							
E9	JP HL	1	4	"SET 5, C"	1	8	"LD C, RES 5, (HL)"	1	0							
EA	"JP PE, ^"	3	12 / 7	"SET 5, D"	1	8	"LD D, RES 5, (HL)"	1	0							
EB	"EX DE, HL"	1	4	"SET 5, E"	1	8	"LD E, RES 5, (HL)"	1	0							
EC	"CALL PE, ^"	3	17 / 10	"SET 5, H"	1	8	"LD H, RES 5, (HL)"	1	0							
ED		0		"SET 5, L"	1	8	"LD L, RES 5, (HL)"	1	0							
EE	XOR $	2	7	"SET 5, (HL)"	1	15	"RES 5, (HL)"	1	15							
EF	RST 28	1	11	"SET 5, A"	1	8	"LD L, RES 5, (HL)"	1	0							
F0	RET P	1	11 / 5	"SET 6, B"	1	8	"LD B, RES 6, (HL)"	1	0							
F1	POP AF	1	10	"SET 6, C"	1	8	"LD C, RES 6, (HL)"	1	0							
F2	"JP P, ^"	3	12 / 7	"SET 6, D"	1	8	"LD D, RES 6, (HL)"	1	0							
F3	DI	1	4	"SET 6, E"	1	8	"LD E, RES 6, (HL)"	1	0							
F4	"CALL P, ^"	3	17 / 10	"SET 6, H"	1	8	"LD H, RES 6, (HL)"	1	0							
F5	PUSH AF	1	11	"SET 6, L"	1	8	"LD L, RES 6, (HL)"	1	0							
F6	OR $	2	7	"SET 6, (HL)"	1	15	"RES 6, (HL)"	1	15							
F7	RST 30	1	11	"SET 6, A"	1	8	"LD L, RES 6, (HL)"	1	0							
F8	RET M	1	11 / 5	"SET 7, B"	1	8	"LD B, RES 7, (HL)"	1	0							
F9	"LD SP, HL"	1	6	"SET 7, C"	1	8	"LD C, RES 7, (HL)"	1	0							
FA	"JP M, ^"	3	12 / 7	"SET 7, D"	1	8	"LD D, RES 7, (HL)"	1	0							
FB	EI	1	4	"SET 7, E"	1	8	"LD E, RES 7, (HL)"	1	0							
FC	"CALL M, ^"	3	17 / 10	"SET 7, H"	1	8	"LD H, RES 7, (HL)"	1	0							
FD	FDOP	0		"SET 7, L"	1	8	"LD L, RES 7, (HL)"	1	0							
FE	CP $	2	7	"SET 7, (HL)"	1	15	"RES 7, (HL)"	1	15							
FF	RST 38	1	11	"SET 7, A"	1	8	"LD L, RES 7, (HL)"	1	0							
